class_name,image_id,edge_rho,p
Consolidation,fa9cd1a78a6d2d8d6e918a8c4125faf4,0.4247060831069746,0.0
Consolidation,fb2b28e4c2d24f22d4f67804eef69ecf,0.4332630983373845,0.0
Consolidation,fc34c8cc6321cfc97ec35783a5daa937,0.6189637261798964,0.0
Consolidation,fc50039c45fdb6c9224bfff5ba4e64b3,0.4588033991221281,0.0
Consolidation,fd1bd078f5f30ad02ed984c94077bbdb,0.6630971704682512,0.0
Consolidation,fdcdbc6befee8ab9553039895835bad8,0.11638782631301604,0.0
Nodule/Mass,008b3176a7248a0a189b5731ac8d2e95,0.34693494049623586,0.0
Nodule/Mass,010018c93ed33ae56ed048ee54867e46,0.5161845153809893,0.0
Nodule/Mass,0853ab3a3dbadae1e6f28b933ddff809,0.5861341580602025,0.0
Nodule/Mass,0a425edf1164ad0a73e8b092c4cc8b3b,0.3984557423117031,0.0
Nodule/Mass,0c5ff01c7bfb4362fcd98f36e555b08c,0.7101663193002057,0.0
Nodule/Mass,0f389422bffe0f96dc3da175550e0c5b,0.598142276041172,0.0
Nodule/Mass,11dbd33fc77075c94a202362ed8e197e,0.20770968612604812,0.0
Nodule/Mass,12ede510c82b53705e33fa758ff03131,0.33042106476735733,0.0
Nodule/Mass,15c3fc505c414c69ba757cb3be3ed213,0.44487332945754704,0.0
Nodule/Mass,1aebe196c344ddae48ec99b142bcf4c2,0.1874704189915063,0.0
Nodule/Mass,1b2a7adb5705d9e3f5b63939046d93c7,0.4845963087122301,0.0
Nodule/Mass,1c1ef26e3b3323f74041f6dd2371cd24,0.6299648351086172,0.0
Nodule/Mass,1dca2f734825798b81f034da81d257f4,0.43363897779174376,0.0
Nodule/Mass,1e380cbe7d0d59de0527d31486a24fa2,0.4492382194776253,0.0
Nodule/Mass,231a4b73de5ac7e0218f736b6b6ff1f2,0.37458389367426453,0.0
Nodule/Mass,23c9516db65572bae3125bcaead302d3,0.1851481780747096,0.0
Nodule/Mass,23ca1279bcbf10d8dc39e769e145a516,0.6751506110869226,0.0
Nodule/Mass,23e3c7a5073d74c1d2daed5ad73fb254,0.5116256992537415,0.0
Nodule/Mass,27e113d3d158dbdd548b534c26164e55,0.3729309927256537,0.0
Nodule/Mass,2c5d9c4fdfc633cb9a6af8ead0c45f19,0.5030320752020905,0.0
Nodule/Mass,2e37a70ea49570b31cb4b83e5a109a7e,0.5035158717615124,0.0
Nodule/Mass,2ebb05b4c603d590854c621fa4f1fd5c,0.03943458236145861,1.0139563001469307e-90
Nodule/Mass,2fdd72337c9a875cf679564355b4bef2,0.47982779612826854,0.0
Nodule/Mass,30d24189cf005a9baf02929afd518832,0.188228337195307,0.0
Nodule/Mass,31873abb42a5af56c33d1681971d014b,0.7078735164955575,0.0
Nodule/Mass,3312ab0661750f9899b4589eae97731a,0.32565643886890977,0.0
Nodule/Mass,33d11e9c98ade6b3937407364fd07103,0.2340308097821468,0.0
Nodule/Mass,34557d39d42d74a3355d509f340cfc8a,0.549930129714276,0.0
Nodule/Mass,37111bde86ae8d81aa66f2f46f89c03b,0.279576555547008,0.0
Nodule/Mass,3a302fbbbf3364aa1a7731b59e6b98ec,0.16994447529609932,0.0
Nodule/Mass,3aefb8dc3f0615131c0dc1477b4e3133,0.08518344902529636,0.0
Nodule/Mass,3bb06e20b2595be65d7a95e948b2169c,0.21681816002615228,0.0
